id,en,es,pt,fr
STRING_COMPLETED,LEVEL COMPLETED,NIVEL COMPLETADO,NÍVEL CONCLUÍDO,NIVEAU COMPLÉTÉ
STRING_RESTART,DO YOU WANT TO RESTART?,¿QUIERES REINICIAR?,VOCÊ QUER RESTAURAR?,VOULEZ-VOUS RESTAURER?
KEY_CONTINUE,CONTINUE,CONTINUAR,CONTINUAR,CONTINUER
KEY_RESTART,RESTART,REINICIAR,REINICIAR,REDÉMARRER
KEY_SHARESCORE,SHARE SCORE,PUNTUACIÓN DE ACCIONES,COMPARTILHAR PONTUAÇÃO,PARTAGE SCORE
STRING_PAUSE,PAUSE,PAUSA,PAUSA,PAUSE
STRING_MAIN,BACK TO MAIN MENU?,¿VOLVER AL MENÚ PRINCIPAL?,VOLTAR AO MENU PRINCIPAL?,RETOUR AU MENU PRINCIPAL?
STAGE_1,STAGE 1,ETAPA 1,ETAPA 1,ÉTAPE 1
STAGE_2,STAGE 2,ETAPA 2,ETAPA 2,ÉTAPE 2
STAGE_3,STAGE 3,ETAPA 3,ETAPA 3,ÉTAPE 3
STAGE_4,STAGE 4,ETAPA 4,ETAPA 4,ÉTAPE 4
STAGE_5,STAGE 5,ETAPA 5,ETAPA 5,ÉTAPE 5
KEY_MENU,MAIN,PRINCIPAL,PRINCIPAL ,PRINCIPAL
KEY_EXITED,EXIT,SAIR ,SAÍDA,SORTIE
STING_OPTIONS_MENU,SETTINGS MENU,MENÚ CONFIGURACIÓN ,MENU DE CONFIGURAÇÕES ,MENU RÉGLAGES 
KEY_EXIT,ARE YOU SURE YOU WANT TO QUIT?,¿SEGURO QUE QUIERES SALIR?,VOCÊ TEM CERTEZA QUE QUER SAIR?,ÊTES-VOUS SÛR DE VOULOIR QUITTER?
KEY_REDEEM_CODE,PLEASE ENTER REDEEM CODE,"POR FAVOR, INTRODUZCA ACTIVAR CÓDIGO","POR FAVOR, INDIQUE RESGATAR CÓDIGO",S'IL VOUS PLAÎT ENTREZ UTILISER LE CODE
KEY_FOLLOW_TWEETS,FOLLOW ON TWITTER,SÍGUENOS EN TWITTER,SIGA NO TWITTER,SUIVRE SUR TWITTER
KEY_LIKE_POSTS,LIKE ON FACEBOOK,COMO EN FACEBOOK,COMO NO FACEBOOK,COMME SUR FACEBOOK
STG_MOVE,USE THE PADDLE TO STOP THE BALL FROM FALLING OFF THE SCREEN & HIT THE BRICKS. YOUR MISSION IS REMOVE ALL THE BREAKABLE BRICKS BY HITTING THEM WITH THE BALL. SOME BRICKS NEED MORE THAN A SINGLE HIT.,UTILIZA EL PADDLE PARA DETENER QUE LA PELOTA SALTE DE LA PANTALLA Y LLEVA LOS LADRILLOS. SU MISIÓN ES ELIMINAR TODOS LOS LADRILLOS RESPIRABLES ENTREGARLOS CON LA BOLA. ALGUNOS LADRILLOS NECESITAN MÁS QUE UN SOLO GOLPE.,"UTILIZE A PÁDORA PARA PARAR A BOLA DE CAIR DA TELA E TOCAR OS TIJOLOS. SUA MISSÃO É REMOVER TODOS OS TIJOLOS QUEBRAM, BATENDO-OS COM A BOLA. ALGUNS TIJOLOS PRECISAM MAIS DO QUE UM ÚNICO TOQUE.",SERVEZ-VOUS DE LA PALETTE POUR EMPÊCHER LA BALLE DE TOMBER DE L'ÉCRAN ET FRAPPEZ LES BRIQUES. VOTRE MISSION EST DE RETIRER TOUTES LES BRIQUES SUSPENDABLES EN LES FRAPPANT AVEC LA BOULE. CERTAINES BRIQUES ONT BESOIN DE PLUS D'UN SEUL FRAPPE.
STG_BTIME,BEST TIME,MEJOR TIEMPO,MELHOR TEMPO,MEILLEUR TEMPS
S1L1,S1 LEVEL 1,E1 NIVEL 1,E1 NÍVEL 1,E1 NIVEAU 1
S1L2,S1 LEVEL 2,E1 NIVEL 2,E1 NÍVEL 2,E1 NIVEAU 2
S1L3,S1 LEVEL 3,E1 NIVEL 3,E1 NÍVEL 3,E1 NIVEAU 3
S1L4,S1 LEVEL 4,E1 NIVEL 4,E1 NÍVEL 4,E1 NIVEAU 4
S1L5,S1 LEVEL 5,E1 NIVEL 5,E1 NÍVEL 5,E1 NIVEAU 5
S1L6,S1 LEVEL 6,E1 NIVEL 6,E1 NÍVEL 6,E1 NIVEAU 6
S1L7,S1 LEVEL 7,E1 NIVEL 7,E1 NÍVEL 7,E1 NIVEAU 7
S1L8,S1 LEVEL 8,E1 NIVEL 8,E1 NÍVEL 8,E1 NIVEAU 8
S1L9,S1 LEVEL 9,E1 NIVEL 9,E1 NÍVEL 9,E1 NIVEAU 9
S1L10,S1 LEVEL 10,E1 NIVEL 10,E1 NÍVEL 10,E1 NIVEAU 10
S2L1,S2 LEVEL 1,E2 NIVEL 1,E2 NÍVEL 1,E2 NIVEAU 1
S2L2,S2 LEVEL 2,E2 NIVEL 2,E2 NÍVEL 2,E2 NIVEAU 2
S2L3,S2 LEVEL 3,E2 NIVEL 3,E2 NÍVEL 3,E2 NIVEAU 3
S2L4,S2 LEVEL 4,E2 NIVEL 4,E2 NÍVEL 4,E2 NIVEAU 4
S2L5,S2 LEVEL 5,E2 NIVEL 5,E2 NÍVEL 5,E2 NIVEAU 5
S2L6,S2 LEVEL 6,E2 NIVEL 6,E2 NÍVEL 6,E2 NIVEAU 6
S2L7,S2 LEVEL 7,E2 NIVEL 7,E2 NÍVEL 7,E2 NIVEAU 7
S2L8,S2 LEVEL 8,E2 NIVEL 8,E2 NÍVEL 8,E2 NIVEAU 8
S2L9,S2 LEVEL 9,E2 NIVEL 9,E2 NÍVEL 9,E2 NIVEAU 9
S2L10,S2 LEVEL 10,E2 NIVEL 10,E2 NÍVEL 10,E2 NIVEAU 10
S3L1,S3 LEVEL 1,E3 NIVEL 1,E3 NÍVEL 1,E3 NIVEAU 1
S3L2,S3 LEVEL 2,E3 NIVEL 2,E3 NÍVEL 2,E3 NIVEAU 2
S3L3,S3 LEVEL 3,E3 NIVEL 3,E3 NÍVEL 3,E3 NIVEAU 3
S3L4,S3 LEVEL 4,E3 NIVEL 4,E3 NÍVEL 4,E3 NIVEAU 4
S3L5,S3 LEVEL 5,E3 NIVEL 5,E3 NÍVEL 5,E3 NIVEAU 5
S3L6,S3 LEVEL 6,E3 NIVEL 6,E3 NÍVEL 6,E3 NIVEAU 6
S3L7,S3 LEVEL 7,E3 NIVEL 7,E3 NÍVEL 7,E3 NIVEAU 7
S3L8,S3 LEVEL 8,E3 NIVEL 8,E3 NÍVEL 8,E3 NIVEAU 8
S3L9,S3 LEVEL 9,E3 NIVEL 9,E3 NÍVEL 9,E3 NIVEAU 9
S3L10,S3 LEVEL 10,E3 NIVEL 10,E3 NÍVEL 10,E3 NIVEAU 10
S4L1,S4 LEVEL 1,E4 NIVEL 1,E4 NÍVEL 1,E4 NIVEAU 1
S4L2,S4 LEVEL 2,E4 NIVEL 2,E4 NÍVEL 2,E4 NIVEAU 2
S4L3,S4 LEVEL 3,E4 NIVEL 3,E4 NÍVEL 3,E4 NIVEAU 3
S4L4,S4 LEVEL 4,E4 NIVEL 4,E4 NÍVEL 4,E4 NIVEAU 4
S4L5,S4 LEVEL 5,E4 NIVEL 5,E4 NÍVEL 5,E4 NIVEAU 5
S4L6,S4 LEVEL 6,E4 NIVEL 6,E4 NÍVEL 6,E4 NIVEAU 6
S4L7,S4 LEVEL 7,E4 NIVEL 7,E4 NÍVEL 7,E4 NIVEAU 7
S4L8,S4 LEVEL 8,E4 NIVEL 8,E4 NÍVEL 8,E4 NIVEAU 8
S4L9,S4 LEVEL 9,E4 NIVEL 9,E4 NÍVEL 9,E4 NIVEAU 9
S4L10,S4 LEVEL 10,E4 NIVEL 10,E4 NÍVEL 10,E4 NIVEAU 10
S5L1,S5 LEVEL 1,E5 NIVEL 1,E5 NÍVEL 1,E5 NIVEAU 1
S5L2,S5 LEVEL 2,E5 NIVEL 2,E5 NÍVEL 2,E5 NIVEAU 2
S5L3,S5 LEVEL 3,E5 NIVEL 3,E5 NÍVEL 3,E5 NIVEAU 3
S5L4,S5 LEVEL 4,E5 NIVEL 4,E5 NÍVEL 4,E5 NIVEAU 4
S5L5,S5 LEVEL 5,E5 NIVEL 5,E5 NÍVEL 5,E5 NIVEAU 5
S5L6,S5 LEVEL 6,E5 NIVEL 6,E5 NÍVEL 6,E5 NIVEAU 6
S5L7,S5 LEVEL 7,E5 NIVEL 7,E5 NÍVEL 7,E5 NIVEAU 7
S5L8,S5 LEVEL 8,E5 NIVEL 8,E5 NÍVEL 8,E5 NIVEAU 8
S5L9,S5 LEVEL 9,E5 NIVEL 9,E5 NÍVEL 9,E5 NIVEAU 9
S5L10,S5 LEVEL 10,E5 NIVEL 10,E5 NÍVEL 10,E5 NIVEAU 10
SEL1,SE LEVEL 1,EE NIVEL 1,EE NÍVEL 1,ES NIVEAU 1
SEL2,SE LEVEL 2,EE NIVEL 2,EE NÍVEL 2,ES NIVEAU 2
SEL3,SE LEVEL 3,EE NIVEL 3,EE NÍVEL 3,ES NIVEAU 3
SEL4,SE LEVEL 4,EE NIVEL 4,EE NÍVEL 4,ES NIVEAU 4
SEL5,SE LEVEL 5,EE NIVEL 5,EE NÍVEL 5,ES NIVEAU 5
SEL6,SE LEVEL 6,EE NIVEL 6,EE NÍVEL 6,ES NIVEAU 6
SEL7,SE LEVEL 7,EE NIVEL 7,EE NÍVEL 7,ES NIVEAU 7
SEL8,SE LEVEL 8,EE NIVEL 8,EE NÍVEL 8,ES NIVEAU 8
SEL9,SE LEVEL 9,EE NIVEL 9,EE NÍVEL 9,ES NIVEAU 9
SEL10,SE LEVEL 10,EE NIVEL 10,EE NÍVEL 10,ES NIVEAU 10
